Company,Trade Name,Generic Name With Strength,Dosage Form,DAR No,reason
Ad-din Pharmaceuticals Ltd.,,Pantoprazole,IV Injection,084--,missing required source field
Advanced Chemical Industries PLC.,Glitin M 2.5/500 F/C Tablet,Linagliptin + Metformin Hydrochloride 2.5 mg + 1000 mg,,005-1194-015,missing required source field
Advanced Chemical Industries PLC.,Glitin M 2.5/850 F/C Tablet,Linagliptin + Metformin Hydrochloride 2.5 mg + 850 mg,,005-1194-015,missing required source field
Advanced Chemical Industries PLC. (Cephalosporin Unit),,,Powder For Suspension,354--,missing required source field
Al-Madina Pharmaceuticals Ltd.,,,,294--,missing required source field
Al-Madina Pharmaceuticals Ltd.,,,,294--,missing required source field
Albion Laboratories Ltd.,,Colistin Sulphate,Powder,096--,missing required source field
Albion Specialized Pharma Limited,,,,451--,missing required source field
Aristopharma Limited,,,,143--,missing required source field
Aristopharma Limited,,Darbepoetin 60 mcg/.3 ml,Injection,143-0675-045,missing required source field
"Aristopharma Limited, Gazipur",,,,378--,missing required source field
"Aristopharma Limited, Gazipur",,,,378--,missing required source field
Beacon Pharmaceuticals PLC,,Montelukast,Tablet,341--,missing required source field
Beximco Pharmaceuticals Ltd.,,,,186--,missing required source field
Beximco Pharmaceuticals Ltd.,,,,186--,missing required source field
Concord Pharmaceuticals Ltd.,,,,274--,missing required source field
DBL Pharmaceuticals Limited,,,,403--,missing required source field
Decent Pharma Laboratories Ltd.,,,,077--,missing required source field
Delta Pharma PLC.,,,,048--,missing required source field
Derma Pharmaceuticals Limited,,Calcium (Coral Calcium) + Cholecalciferol (Vit. D3) 500 mg + 400 IU,Tablet,490--062,missing required source field
"Drug International Ltd., Gopalpur",,Amiodarone Hydrochloride,Tablet,400--,missing required source field
"Drug International Ltd., Gopalpur",,,,400--,missing required source field
"Eskayef Pharmaceuticals Ltd. Chandana, Gazipur",,,,409--,missing required source field
"Eskayef Pharmaceuticals Ltd. Chandana, Gazipur",,Omeprazole,Capsule,409--,missing required source field
"Eskayef Pharmaceuticals Ltd., Narayanganj",,Mebendazole,Injection,387--,missing required source field
"Eskayef Pharmaceuticals Ltd., Tongi,Gazipur",,Lactulose 68 %,Oral Solution,308--060,missing required source field
Everest Pharmaceuticals Ltd.,,,,157--,missing required source field
Healthcare Pharmaceuticals Ltd.,,,,323--,missing required source field
Jenphar Bangladesh Ltd.,,,,351--,missing required source field
Jenphar Bangladesh Ltd.,,,,351--,missing required source field
OSL Pharma Ltd.,,,,259--,missing required source field
Opsonin Pharma Limited,,,,025--,missing required source field
Opsonin Pharma Limited,,,,025--,missing required source field
Opsonin Pharma Limited,,Diclofenac Sodium,Gel,025--,missing required source field
Opsonin Pharma Limited,,,,025--,missing required source field
Opsonin Pharma Limited,,Prazosin,Tablet,025--,missing required source field
Orion Pharma Ltd.,,,,030--,missing required source field
Rangs Pharmaceuticals Ltd.,,,,082--,missing required source field
Renata PLC. Bhaluka,,,,417--,missing required source field
Silco Pharmaceuticlas Ltd.,,,,311--,missing required source field
SinoHealth Pharmaceuticals Ltd.,,,,182--,missing required source field
"Square Pharmaceuticals PLC, Gazipur",,Insulin Aspert 30/70 100 IU/ml,Injection,321--015,missing required source field
Synovia Pharma PLC.,,Empagliflozin + Metformin Hydrochloride 5 mg + 500 mg,Tablet,003--015,missing required source field
"Techno Drugs Ltd., Satipara, Narshingdi",,Cypermethrin 200 gm/ Litres,Emulsion,304--077,missing required source field
The ACME Laboratories Ltd.,,,,036--,missing required source field
The ACME Laboratories Ltd.,,,,036--,missing required source field
The White Horse Pharmaceuticals Ltd.,,,Tablet,214--,missing required source field
Ziska Pharmaceuticals Ltd.,,Metronidazole,IV Injection,242--,missing required source field
